,Sequence of all items,Main Chapter heading,Chapter rank,Web chapter heading,Sequence of secondary chapters,Secondary chapter heading (too long to use),Simplified secondary chapter heading,Web subchapter heading,Species name,Species file name,Explore numbers in this file,Numbered sounds in file,Book page,Photo #1,Caption for Photo #1,Photo #2,Caption for Photo #2,Photo #3,Caption for photo #3,sound 1,sound 2 ,sound 3,sound 4,sound 5,sound 6,sound 7,sound 8,sound 9,sound 10,sound 11,sound 12,sound 13,sound 14,sound 15,sound 16,Unnamed: 35,Chapter rank.1,Chapter name, Subchapter rank, Subchapter heading,spedies_index,qr_url,group_name,family_name,species_index
60,61,4. How a Bird Gets Its Song,4,4. How a Bird Gets Its Song,41,Inborn songs,Inborn songs,Inborn songs,Eurasian collared dove,4.1_ECDo,,139,45,EuCoDo-lw-EuDoDo IMG_3706,Photo by Laure Wilson Neish,,,,,139,,,,,,,,,,,,,,,,,,,,,61,http://BirdsongForTheCurious.com/SpeciesFile.php?page=61,"Grebes, pigeons, doves",Columbidae,61
61,62,4. How a Bird Gets Its Song,4,4. How a Bird Gets Its Song,41,Inborn songs,Inborn songs,Inborn songs,"Alder flycatcher, willow flycatcher",4.1_AlFl,,140-147,45,AlFl-BS-Alder Flycatcher_T0B64355,"Alder flycatcher
Photo by Brian E. Small",WiFl-BS-Willow Flycatcher_DX_63495,"Willow flycatcher
Photo by Brian E. Small",,,140,141.0,142.0,143.0,144.0,145.0,146.0,147.0,,,,,,,,,,,,,,62,http://BirdsongForTheCurious.com/SpeciesFile.php?page=62,,,62
62,63,4. How a Bird Gets Its Song,4,4. How a Bird Gets Its Song,41,Inborn songs,Inborn songs,Inborn songs,Eastern phoebe,4.1_EaPh,22,148-154,46,EaPh-MR-EPhoebeNestMat_6573_Read,Photo by Marie Read,,,,,148,149.0,150.0,151.0,152.0,153.0,154.0,,,,,,,,,,,,,,,63,http://BirdsongForTheCurious.com/SpeciesFile.php?page=63,Flycatchers,Tyrannidae,63
63,64,4. How a Bird Gets Its Song,4,4. How a Bird Gets Its Song,42,Improvised songs,Improvised songs,Improvised songs,Red-eyed vireo,4.2_ReVi,23,155-158,48,ReVi-BS-Red-eyed Vireo_T0B26149,Photo by Brian E. Small,,,,,155,156.0,157.0,158.0,,,,,,,,,,,,,,,,,,64,http://BirdsongForTheCurious.com/SpeciesFile.php?page=64,"Shrikes, vireos",Vireonidae,64
64,65,4. How a Bird Gets Its Song,4,4. How a Bird Gets Its Song,42,Improvised songs,Improvised songs,Improvised songs,Sedge wren,4.2_SeWr,,159,48,SeWr-WH-20120512_Sedge_wren_MN_WH_MG_7686,Photo by Wil Hershberger,,,,,159,,,,,,,,,,,,,,,,,,,,,65,http://BirdsongForTheCurious.com/SpeciesFile.php?page=65,Wrens,Troglodytidae,65
65,66,4. How a Bird Gets Its Song,4,4. How a Bird Gets Its Song,42,Improvised songs,Improvised songs,Improvised songs,Gray catbird,4.2_GrCa,,160-161,49,GrCa-BS-Gray Catbird_B9H23152,Photo by Brian E. Small,,,,,160,161.0,,,,,,,,,,,,,,,,,,,,66,http://BirdsongForTheCurious.com/SpeciesFile.php?page=66,"Mockingbirds, catbirds, thrashers, starlings",Mimidae,66
66,67,4. How a Bird Gets Its Song,4,4. How a Bird Gets Its Song,43,"Learned songs of songbirds, and babbling; babbling during autumn","Learned songs of songbirds, and babbling","Learned songs of songbirds, and babbling",Warbling vireo,4.3_WaVi,,162-163,50,WaVi-WH-Warbling_vireo_WH_Warbling_vireo_WH_-9548,Photo by Wil Hershberger,,,,,162,163.0,,,,,,,,,,,,,,,,,,,,67,http://BirdsongForTheCurious.com/SpeciesFile.php?page=67,"Shrikes, vireos",Vireonidae,67
67,68,4. How a Bird Gets Its Song,4,4. How a Bird Gets Its Song,43,"Learned songs of songbirds, and babbling: Babbling during autumn","Learned songs of songbirds, and babbling","Learned songs of songbirds, and babbling",Red-eyed vireo,4.3_ReVi,,164-165,50,ReVi-RR-Red-eyedVireo,Photo by Robert Royse,,,,,164,165.0,,,,,,,,,,,,,,,,,,,,68,http://BirdsongForTheCurious.com/SpeciesFile.php?page=68,"Shrikes, vireos",Vireonidae,68
68,69,4. How a Bird Gets Its Song,4,4. How a Bird Gets Its Song,43,"Learned songs of songbirds, and babbling: Babbling during autumn","Learned songs of songbirds, and babbling","Learned songs of songbirds, and babbling",Carolina wren,4.3_CarWr1,,166-168,51,CarWr-WH-20121229_Carolina_Wren_WH__MG_9086,Photo by Wil Hershberger,,,,,166,167.0,168.0,,,,,,,,,,,,,,,,,,,69,http://BirdsongForTheCurious.com/SpeciesFile.php?page=69,Wrens,Troglodytidae,69
69,70,4. How a Bird Gets Its Song,4,4. How a Bird Gets Its Song,43,"Learned songs of songbirds, and babbling: Babbling during autumn","Learned songs of songbirds, and babbling","Learned songs of songbirds, and babbling",Song sparrow,4.3_SoSp,,169-170,51,SoSp-WH-Song_sparrow_WH_C2FS5178,Photo by Wil Hershberger,,,,,169,170.0,,,,,,,,,,,,,,,,,,,,70,http://BirdsongForTheCurious.com/SpeciesFile.php?page=70,Sparrows,Passerellidae,70
70,71,4. How a Bird Gets Its Song,4,4. How a Bird Gets Its Song,43,"Learned songs of songbirds, and babbling: Babbling during autumn","Learned songs of songbirds, and babbling","Learned songs of songbirds, and babbling",White-throated sparrow,4.3_WtSp1,24,171-172,52,WtSp-lw-WtSp 3U0C6450,Photo by Laure Wilson Neish,,,,,171,172.0,,,,,,,,,,,,,,,,,,,,71,http://BirdsongForTheCurious.com/SpeciesFile.php?page=71,Sparrows,Passerellidae,71
71,72,4. How a Bird Gets Its Song,4,4. How a Bird Gets Its Song,43,"Learned songs of songbirds, and babbling: More practice during spring","Learned songs of songbirds, and babbling","Learned songs of songbirds, and babbling",Indigo bunting,4.3_InBu,,173-175,53,InBu-MR-IndBuntingFirstYrM_1869_Read,"First year male
Photo by Marie Read",InBu-MR-IndBuntingM_B1671242_Read,"2nd year or older male
Photo by Marie Read",,,173,174.0,175.0,,,,,,,,,,,,,,,,,,,72,http://BirdsongForTheCurious.com/SpeciesFile.php?page=72,"Cardinals, tanagers, grosbeaks, buntings",Cardinalidae,72
72,73,4. How a Bird Gets Its Song,4,4. How a Bird Gets Its Song,43,"Learned songs of songbirds, and babbling: More practice during spring","Learned songs of songbirds, and babbling","Learned songs of songbirds, and babbling",Tennessee warbler,4.3_TeWa,,176-177,53,TeWa-BS-Tennessee Warbler_D4_58423,Photo by Brian E. Small,,,,,176,177.0,,,,,,,,,,,,,,,,,,,,73,http://BirdsongForTheCurious.com/SpeciesFile.php?page=73,Warblers,Parulidae,73
73,74,4. How a Bird Gets Its Song,4,4. How a Bird Gets Its Song,43,"Learned songs of songbirds, and babbling: More practice during spring","Learned songs of songbirds, and babbling","Learned songs of songbirds, and babbling",American redstart,4.3_AmRe,,178-179,53,AmRe-BS-American Redstart_D4_99987,Photo by Brian E. Small,,,,,178,179.0,,,,,,,,,,,,,,,,,,,,74,http://BirdsongForTheCurious.com/SpeciesFile.php?page=74,Warblers,Parulidae,74
74,75,4. How a Bird Gets Its Song,4,4. How a Bird Gets Its Song,43,"Learned songs of songbirds, and babbling: More practice during spring","Learned songs of songbirds, and babbling","Learned songs of songbirds, and babbling",Magnolia warbler,4.3_MaWa,,180-181,54,MaWa--bbj433b-mawa-rt-up-brnch-PP-02-05,Photo by John Van de Graaff,,,,,180,181.0,,,,,,,,,,,,,,,,,,,,75,http://BirdsongForTheCurious.com/SpeciesFile.php?page=75,Warblers,Parulidae,75
75,76,4. How a Bird Gets Its Song,4,4. How a Bird Gets Its Song,43,"Learned songs of songbirds, and babbling: More practice during spring","Learned songs of songbirds, and babbling","Learned songs of songbirds, and babbling",White-throated sparrow,4.3_WtSp2,,182-183,54,WtSp-BbJ-494b-wtsp-left-song-CPk-04-04-17_9595 copy,Photo by John Van de Graaff,,,,,182,183.0,,,,,,,,,,,,,,,,,,,,76,http://BirdsongForTheCurious.com/SpeciesFile.php?page=76,Sparrows,Passerellidae,76
76,77,4. How a Bird Gets Its Song,4,4. How a Bird Gets Its Song,43,"Learned songs of songbirds, and babbling: More practice during spring","Learned songs of songbirds, and babbling","Learned songs of songbirds, and babbling",Carolina wren,4.3_CarWr2,25,184-187,55,CarWr-BbJ-384-cawr-head-turn_Bos-10-04-24_8535,Photo by John Van de Graaff,DeJu-BbJ-501b-deju-rt-grass-CPk-04-10-21_5149 copy,Photo by John Van de Graaff,,,184,185.0,186.0,187.0,,,,,,,,,,,,,,,,,,77,http://BirdsongForTheCurious.com/SpeciesFile.php?page=77,Wrens,Troglodytidae,77
77,78,5. More about Song Learning,5,5. More about Song Learning,51,"Big decisions: When, where, and from whom to learn","Big decisions: When, where, and from whom to learn","Big decisions: When, where, and from whom to learn",Chipping sparrow,5.1_ChSp,,188-199,56,ChSp-MR-ChipSparrowRedbud_9231_Read,Photo by Marie Read,,,,,188,189.0,190.0,191.0,192.0,193.0,194.0,195.0,196.0,197.0,198.0,199.0,,,,,,,,,,78,http://BirdsongForTheCurious.com/SpeciesFile.php?page=78,Sparrows,Passerellidae,78
78,79,5. More about Song Learning,5,5. More about Song Learning,51,"Big decisions: When, where, and from whom to learn","Big decisions: When, where, and from whom to learn","Big decisions: When, where, and from whom to learn","Indigo bunting, lazuli bunting",5.1_InBu,,200-209,57,InBu-RR-IndigoBunting,"Indigo bunting
Photo by obert Royse",LazBu-RR-LazuliBunting,"Lazuli bunting
Photo by Robert Royse",,,200,201.0,202.0,203.0,204.0,205.0,206.0,207.0,208.0,209.0,,,,,,,,,,,,79,http://BirdsongForTheCurious.com/SpeciesFile.php?page=79,,,79
79,80,5. More about Song Learning,5,5. More about Song Learning,51,"Big decisions: When, where, and from whom to learn","Big decisions: When, where, and from whom to learn","Big decisions: When, where, and from whom to learn",Common yellowthroat,5.1_CoYe,26,210-221,58,CoYe-WH-Common_yellowthroat_C2FS3631_WH,Photo by Wil Hershberger,,,,,210,211.0,212.0,213.0,214.0,215.0,216.0,217.0,218.0,219.0,220.0,221.0,,,,,,,,,,80,http://BirdsongForTheCurious.com/SpeciesFile.php?page=80,Warblers,Parulidae,80
80,81,5. More about Song Learning,5,5. More about Song Learning,52,Song (and call) matching,Song (and call) matching,Song (and call) matching,Common raven,5.2_CoRa,27,222-223,59,CoRa-WH-Raven_WH_MG_2907,Photo by Wil Hershberger,,,,,222,223.0,,,,,,,,,,,,,,,,,,,,81,http://BirdsongForTheCurious.com/SpeciesFile.php?page=81,"Jays, crows",Corvidae,81
81,82,5. More about Song Learning,5,5. More about Song Learning,52,Song (and call) matching,Song (and call) matching,Song (and call) matching,"Northern cardinal, pyrrhuloxia",5.2_NoCa,,224-226,59,NoCa-WH-20160202_Northern_Cardinal_male_WH__L1A2386,"Northern cardinal
Photo by Wil Hershberger",Pyrr-MR-PyrrhuloxiaM_0978_Read,"Pyrrhuloxia
Photo by Marie Read",,,224,225.0,226.0,,,,,,,,,,,,,,,,,,,82,http://BirdsongForTheCurious.com/SpeciesFile.php?page=82,,,82
82,83,5. More about Song Learning,5,5. More about Song Learning,52,Song (and call) matching,Song (and call) matching,Song (and call) matching,Marsh wren,5.2_MaWr,28,227-233,60,MaWr-BS-Marsh Wren_DX_64780,Photo by Brian E. Small,,,,,227,228.0,229.0,230.0,231.0,232.0,233.0,,,,,,,,,,,,,,,83,http://BirdsongForTheCurious.com/SpeciesFile.php?page=83,Wrens,Troglodytidae,83
83,84,5. More about Song Learning,5,5. More about Song Learning,52,Song (and call) matching,Song (and call) matching,Song (and call) matching,Brown thrasher,5.2_BrTh,,234-237,61,BrTh-BS-2-Brown Thrasher 04,Photo by Brian E. Small,,,,,234,235.0,236.0,237.0,,,,,,,,,,,,,,,,,,84,http://BirdsongForTheCurious.com/SpeciesFile.php?page=84,"Mockingbirds, catbirds, thrashers, starlings",Mimidae,84
84,85,5. More about Song Learning,5,5. More about Song Learning,52,Song (and call) matching,Song (and call) matching,Song (and call) matching,Northern mockingbird,5.2_NoMo,,238,62,NoMo--bbj411a-nomo-prchthorns-AZ-04-01-31_3721CS,Photo by John Van de Graaff,,,,,238,,,,,,,,,,,,,,,,,,,,,85,http://BirdsongForTheCurious.com/SpeciesFile.php?page=85,"Mockingbirds, catbirds, thrashers, starlings",Mimidae,85
85,86,5. More about Song Learning,5,5. More about Song Learning,52,Song (and call) matching,Song (and call) matching,Song (and call) matching,Oak titmouse,5.2_OaTi,29,239,63,OaTi-RR-OakTitmouse,Photo by Robert Royse,,,,,239,,,,,,,,,,,,,,,,,,,,,86,http://BirdsongForTheCurious.com/SpeciesFile.php?page=86,"Chickadees, titmice",Paridae,86
86,87,5. More about Song Learning,5,5. More about Song Learning,53,Song (and call) dialects,Song (and call) dialects,Song (and call) dialects,White-crowned sparrow,5.3_WcSp,,240-254,64,WcSp-lw-WCSP_9284,Photo by Laure Wilson Neish,,,,,240,241.0,242.0,243.0,244.0,245.0,246.0,247.0,248.0,249.0,250.0,251.0,252.0,253.0,254.0,,,,,,,87,http://BirdsongForTheCurious.com/SpeciesFile.php?page=87,Sparrows,Passerellidae,87
87,88,5. More about Song Learning,5,5. More about Song Learning,53,Song (and call) dialects,Song (and call) dialects,Song (and call) dialects,Black-capped chickadee,5.3_BcCh,30,255-258,64,BcCh--bbj374-bcch-pine-2-VNC-05-10-04_0182,Photo by John Van de Graaff,,,,,255,256.0,257.0,258.0,,,,,,,,,,,,,,,,,,88,http://BirdsongForTheCurious.com/SpeciesFile.php?page=88,"Chickadees, titmice",Paridae,88
88,89,5. More about Song Learning,5,5. More about Song Learning,53,Song (and call) dialects,Song (and call) dialects,Song (and call) dialects,Dickcissel,5.3_Dick,31,259-270,65,Dick-RR-Dickcissel1,Photo by Robert Royse,,,,,259,260.0,261.0,262.0,263.0,264.0,265.0,266.0,267.0,268.0,269.0,270.0,,,,,,,,,,89,http://BirdsongForTheCurious.com/SpeciesFile.php?page=89,"Cardinals, tanagers, grosbeaks, buntings",Cardinalidae,89
89,90,5. More about Song Learning,5,5. More about Song Learning,53,Song (and call) dialects,Song (and call) dialects,Song (and call) dialects,American tree sparrow,5.3_ATSp,,271-281,66,AmTrSp-WH-20031115_American_Tree_Sparrow_WH_C2FS2263,Photo by Wil Hershberger,,,,,271,272.0,273.0,274.0,275.0,276.0,277.0,278.0,279.0,280.0,281.0,,,,,,,,,,,90,http://BirdsongForTheCurious.com/SpeciesFile.php?page=90,Sparrows,Passerellidae,90
90,91,5. More about Song Learning,5,5. More about Song Learning,53,Song (and call) dialects,Song (and call) dialects,Song (and call) dialects,Fox sparrow,5.3_FoSp,,282-290,66,FoSp-RR-FoxSparrow-Red,Photo by Robert Royse,,,,,282,283.0,284.0,285.0,286.0,287.0,288.0,289.0,290.0,,,,,,,,,,,,,91,http://BirdsongForTheCurious.com/SpeciesFile.php?page=91,Sparrows,Passerellidae,91
91,92,5. More about Song Learning,5,5. More about Song Learning,53,Song (and call) dialects,Song (and call) dialects,Song (and call) dialects,Vesper sparrow,5.3_VeSp,,291-297,67,VeSp-WH-20030424_Vesper_sparrow_WH_MG2604,Photo by Wil Hershberger,,,,,291,292.0,293.0,294.0,295.0,296.0,297.0,,,,,,,,,,,,,,,92,http://BirdsongForTheCurious.com/SpeciesFile.php?page=92,Sparrows,Passerellidae,92
92,93,5. More about Song Learning,5,5. More about Song Learning,53,Song (and call) dialects,Song (and call) dialects,Song (and call) dialects,White-throated sparrow,5.3_WtSp,32,298-307,67,WtSp-WH-White-throated_sparrow_WH__WIL0981,Photo by Wil Hershberger,,,,,298,299.0,300.0,301.0,302.0,303.0,304.0,305.0,306.0,307.0,,,,,,,,,,,,93,http://BirdsongForTheCurious.com/SpeciesFile.php?page=93,Sparrows,Passerellidae,93
93,94,5. More about Song Learning,5,5. More about Song Learning,53,Song (and call) dialects,Song (and call) dialects,Song (and call) dialects,Bobolink,5.3_Bobo,,308-314,68,Bobo-MR-BobolinkM_B16314R_Read,Photo by Marie Read,,,,,308,309.0,310.0,311.0,312.0,313.0,314.0,,,,,,,,,,,,,,,94,http://BirdsongForTheCurious.com/SpeciesFile.php?page=94,Blackbirds,Icteridae,94
94,95,5. More about Song Learning,5,5. More about Song Learning,53,Song (and call) dialects,Song (and call) dialects,Song (and call) dialects,Anna’s hummingbird,5.3_AnHu,,315-324,69,AnHu--bbj298a-anhu_AZ-15-11-16_0658,Photo by John Van de Graaff,,,,,315,316.0,317.0,318.0,319.0,320.0,321.0,322.0,323.0,324.0,,,,,,,,,,,,95,http://BirdsongForTheCurious.com/SpeciesFile.php?page=95,,,95
95,96,5. More about Song Learning,5,5. More about Song Learning,53,Song (and call) dialects,Song (and call) dialects,Song (and call) dialects,Red-winged blackbird,5.3_RwBl,33,325-329,70,RwBl--bbj513-rwbl_strut!_Noho-13-05-07_0655,Photo by John Van de Graaff,,,,,325,326.0,327.0,328.0,329.0,,,,,,,,,,,,,,,,,96,http://BirdsongForTheCurious.com/SpeciesFile.php?page=96,Blackbirds,Icteridae,96
96,97,5. More about Song Learning,5,5. More about Song Learning,53,Song (and call) dialects,Song (and call) dialects,Song (and call) dialects,Brown-headed cowbird,5.3_BhCo,,330-332,71,BhCo-MR-BHCowbirdM_B163522_Read,Photo by Marie Read,,,,,330,331.0,332.0,,,,,,,,,,,,,,,,,,,97,http://BirdsongForTheCurious.com/SpeciesFile.php?page=97,Blackbirds,Icteridae,97
97,98,5. More about Song Learning,5,5. More about Song Learning,53,Song (and call) dialects,Song (and call) dialects,Song (and call) dialects,Red crossbill,5.3_ReCr,,333-334,72,ReCr-lw-ReCr 3U0C5656,Photo by Laure Wilson Neish,,,,,333,334.0,,,,,,,,,,,,,,,,,,,,98,http://BirdsongForTheCurious.com/SpeciesFile.php?page=98,"Finches, longspur",Fringillidae,98
98,99,5. More about Song Learning,5,5. More about Song Learning,54,Mimicry,Mimicry,Mimicry,Northern mockingbird,5.4_NoMo,34,335-342,73,NoMo-MR-NMockingbirdSing_0165_Read,Photo by Marie Read,NoMo-BbJ-411a-nomo-red-branches-CC-07-04-11_9976 copy,Photo by John Van de Graaff,,,335,336.0,337.0,338.0,339.0,340.0,341.0,342.0,,,,,,,,,,,,,,99,http://BirdsongForTheCurious.com/SpeciesFile.php?page=99,"Mockingbirds, catbirds, thrashers, starlings",Mimidae,99
99,100,5. More about Song Learning,5,5. More about Song Learning,54,Mimicry,Mimicry,Mimicry,European starling,5.4_EuSt,,343-346,76,EuSt-MR-EuStarling_B15208_Read,Photo by Marie Read,,,,,343,344.0,345.0,346.0,,,,,,,,,,,,,,,,,,100,http://BirdsongForTheCurious.com/SpeciesFile.php?page=100,"Mockingbirds, catbirds, thrashers, starlings",Sturnidae,100
100,101,5. More about Song Learning,5,5. More about Song Learning,54,Mimicry,Mimicry,Mimicry,White-eyed vireo,5.4_WeVi,35,347-351,77,WeVi-RR-White-eyedVireo,Photo by Robert Royse,,,,,347,348.0,349.0,350.0,351.0,,,,,,,,,,,,,,,,,101,http://BirdsongForTheCurious.com/SpeciesFile.php?page=101,"Shrikes, vireos",Vireonidae,101
101,102,5. More about Song Learning,5,5. More about Song Learning,54,Mimicry,Mimicry,Mimicry,Steller's jay,5.4_StJa,,352-355,77,StJa-lw-STJA-flash_9069,Photo by Laure Wilson Neish,,,,,352,353.0,354.0,355.0,,,,,,,,,,,,,,,,,,102,http://BirdsongForTheCurious.com/SpeciesFile.php?page=102,"Jays, crows",Corvidae,102
102,103,5. More about Song Learning,5,5. More about Song Learning,54,Mimicry,Mimicry,Mimicry,Blue jay,5.4_BlJa,,356-360,78,BlJa-WH-20030215_Blue_jay_WH_MG_0843-1,OrOr-WH-Orchard_oriole_male_WH_Orchard_oriole_male_singing_WIL9447-Edit-3,,,,,356,357.0,358.0,359.0,360.0,,,,,,,,,,,,,,,,,103,http://BirdsongForTheCurious.com/SpeciesFile.php?page=103,"Jays, crows",Corvidae,103
103,104,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,61,Song complexity: Songs that are a simple burst of sound,Song complexity,Song complexity,Least flycatcher,6.1_LeFl,,361-362,79,LeFl-BS-Least Flycatcher 05,OrOr-WH-Orchard_oriole_male_WH_Orchard_oriole_male_singing_WIL9447-Edit-3,,,,,361,362.0,,,,,,,,,,,,,,,,,,,,104,http://BirdsongForTheCurious.com/SpeciesFile.php?page=104,Flycatchers,Tyrannidae,104
104,105,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,61,Song complexity: Songs that are a simple burst of sound,Song complexity,Song complexity,House sparrow,6.1_HoSp,,363-368,80,HoSp-BS-House Sparrow_T0B21566,Photo by Brian E. Small,,,,,363,364.0,365.0,366.0,367.0,368.0,,,,,,,,,,,,,,,,105,http://BirdsongForTheCurious.com/SpeciesFile.php?page=105,"Waxwings, house sparrow",Passeridae,105
105,106,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,61,Song complexity: Songs that consist of one phrase repeated several times,Song complexity,Song complexity,Cactus wren,6.1_CacWr,,369,80,CacWr--bbj390-cawr-rt-cactus-TX-05-02-19_7125,Photo by John Van de Graaff,,,,,369,,,,,,,,,,,,,,,,,,,,,106,http://BirdsongForTheCurious.com/SpeciesFile.php?page=106,Wrens,Troglodytidae,106
106,107,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,61,Song complexity: Songs that consist of one phrase repeated several times,Song complexity,Song complexity,Dark-eyed junco,6.1_DeJu,,370,81,DeJu-lw-DEJU(m)_3141,Photo by Laure Wilson Neish,,,,,370,,,,,,,,,,,,,,,,,,,,,107,http://BirdsongForTheCurious.com/SpeciesFile.php?page=107,Sparrows,Passerellidae,107
107,108,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,61,Song complexity: More complex songs contain several different phrases,Song complexity,Song complexity,Painted bunting,6.1_PaBu,,371,81,PaBu--bbj469b-pabu-TX-03-4-28a,Photo by John Van de Graaff,,,,,371,,,,,,,,,,,,,,,,,,,,,108,http://BirdsongForTheCurious.com/SpeciesFile.php?page=108,"Cardinals, tanagers, grosbeaks, buntings",Cardinalidae,108
108,109,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,61,Song complexity: More complex songs contain several different phrases,Song complexity,Song complexity,House wren,6.1_HoWr,,372,82,HoWr-RR-HouseWren,Photo by Robert Royse,,,,,372,,,,,,,,,,,,,,,,,,,,,109,http://BirdsongForTheCurious.com/SpeciesFile.php?page=109,Wrens,Troglodytidae,109
109,110,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,61,Song complexity: The truly exceptional singers,Song complexity,Song complexity,Townsend's solitaire,6.1_ToSo,,373-376,82,ToSo-WH-Towsend's_solitaire_WH_MG_0768,Photo by Wil Hershberger,,,,,373,374.0,375.0,376.0,,,,,,,,,,,,,,,,,,110,http://BirdsongForTheCurious.com/SpeciesFile.php?page=110,Thrushes,Turdidae,110
110,111,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,61,Song complexity: The truly exceptional singers,Song complexity,Song complexity,Sage thrasher,6.1_SaTh,36,377-378,83,SaTh-BS-Sage Thrasher_D4_42558,Photo by Brian E. Small,,,,,377,378.0,,,,,,,,,,,,,,,,,,,,111,http://BirdsongForTheCurious.com/SpeciesFile.php?page=111,"Mockingbirds, catbirds, thrashers, starlings",Mimidae,111
111,112,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,62,Small to large repertoires: Small repertoires of non-learning flycatchers,Small to large repertoires,Small to large repertoires,Olive-sided flycatcher,6.2_OsFl,,379-381,84,OsFl-BS-Olive-sided Flycatcher_T0B54334,Photo by Brian E. Small,,,,,379,380.0,381.0,,,,,,,,,,,,,,,,,,,112,http://BirdsongForTheCurious.com/SpeciesFile.php?page=112,Flycatchers,Tyrannidae,112
112,113,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,62,Small to large repertoires: Small repertoires of non-learning flycatchers,Small to large repertoires,Small to large repertoires,Black phoebe,6.2_BlPh,,382,84,BlPh-RR-BlackPhoebe,Photo by Robert Royse,,,,,382,,,,,,,,,,,,,,,,,,,,,113,http://BirdsongForTheCurious.com/SpeciesFile.php?page=113,Flycatchers,Tyrannidae,113
113,114,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,62,Small to large repertoires: Small repertoires of non-learning flycatchers,Small to large repertoires,Small to large repertoires,Say's phoebe,6.2_SaPh,37,383-385,84,SaPh-WH-20120404_Say's_phoebe_OK_WH_MG_3597,Photo by Wil Hershberger,,,,,383,384.0,385.0,,,,,,,,,,,,,,,,,,,114,http://BirdsongForTheCurious.com/SpeciesFile.php?page=114,Flycatchers,Tyrannidae,114
114,115,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,62,Small to large repertoires: Just one song for some songbirds,Small to large repertoires,Small to large repertoires,Ruby-crowned kinglet,6.2_RcKi,38,386-387,86,RcKi-WH-20031110_Ruby-crowned_Kinglet_WH_C2FS2212,Photo by Wil Hershberger,,,,,386,387.0,,,,,,,,,,,,,,,,,,,,115,http://BirdsongForTheCurious.com/SpeciesFile.php?page=115,"Kinglets, wrentit",Regulidae,115
115,116,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,62,Small to large repertoires: Just one song for some songbirds,Small to large repertoires,Small to large repertoires,Savannah sparrow,6.2_SaSp,,388-390,86,SaSp-RR-SavannahSparrow,Photo by Robert Royse,,,,,388,389.0,390.0,,,,,,,,,,,,,,,,,,,116,http://BirdsongForTheCurious.com/SpeciesFile.php?page=116,Sparrows,Passerellidae,116
116,117,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,62,Small to large repertoires: Two to four songs for songbirds,Small to large repertoires,Small to large repertoires,Tufted titmouse,6.2_TuTi,,391-392,87,TuTi-WH-20161028_Tufted_Titmouse_WH__WLH7502,Photo by Wil Hershberger,,,,,391,392.0,,,,,,,,,,,,,,,,,,,,117,http://BirdsongForTheCurious.com/SpeciesFile.php?page=117,"Chickadees, titmice",Paridae,117
117,118,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,62,Small to large repertoires: Two to four songs for songbirds,Small to large repertoires,Small to large repertoires,Carolina chickadee,6.2_CaCh,,393-395,87,CaCh-WH-20101101_Carolina_chickadee_WH_MG6845,Photo by Wil Hershberger,,,,,393,394.0,395.0,,,,,,,,,,,,,,,,,,,118,http://BirdsongForTheCurious.com/SpeciesFile.php?page=118,"Chickadees, titmice",Paridae,118
118,119,6. Song Learning Often Creates Complex Songs and Large Repertoires,6,6. Song Learning Often Creates Complex Songs and Large Repertoires,62,Small to large repertoires: Songbirds with ten or so different songs,Small to large repertoires,Small to large repertoires,Hermit thrush,6.2_HeTh,39,396-399,88,HeTh-BS-Hermit Thrush_T0B67408,Photo by Brian E. Small,,,,,396,397.0,398.0,399.0,,,,,,,,,,,,,,,,,,119,http://BirdsongForTheCurious.com/SpeciesFile.php?page=119,Thrushes,Turdidae,119
